,state,income_level,2017,2018,2019,2021
0,ca,high,4.265948275862069,4.964117647058823,5.680446927374302,4.525125628140704
1,ca,low,12.564634146341463,12.916077170418006,13.22516447368421,11.438110749185668
2,ca,mid,7.042586002372479,6.522870478413069,6.991183294663573,6.764832535885167
3,il,high,0.6255474452554745,0.5848484848484848,1.950793650793651,1.6480620155038759
4,il,low,7.239634146341463,7.046625766871165,10.922292993630572,5.4178343949044585
5,il,mid,1.5250614250614252,1.5803874092009687,4.198352941176471,3.374644549763033
6,nyc,high,1.2471264367816093,1.0463576158940397,0.9602649006622517,1.089655172413793
7,nyc,low,10.263313609467456,10.17283950617284,10.92051282051282,6.839805825242719
8,nyc,mid,5.378048780487805,4.681372549019608,4.773524720893142,3.913256955810147
9,tx,high,0.0,0.0,0.0,0.023809523809523808
10,tx,low,0.014084507042253521,0.013157894736842105,0.030303030303030304,0.09210526315789473
11,tx,mid,0.0,0.0,0.0,0.18253968253968253
